iter	Passed	Remaining
407	5442	1227
408	5455	1213
409	5467	1200
410	5479	1186
411	5491	1173
412	5505	1159
413	5517	1146
414	5530	1132
415	5543	1119
416	5556	1105
417	5568	1092
418	5581	1078
419	5594	1065
420	5607	1052
421	5620	1038
422	5629	1024
423	5642	1011
424	5655	998
425	5668	984
426	5677	970
427	5690	957
428	5702	943
429	5715	930
430	5728	917
431	5742	903
432	5754	890
433	5767	877
434	5781	863
435	5793	850
436	5807	837
437	5819	823
438	5831	810
439	5841	796
440	5854	783
441	5868	770
442	5880	756
443	5889	742
444	5902	729
445	5915	716
446	5925	702
447	5937	689
448	5949	675
449	5957	661
450	5967	648
451	5981	635
452	5994	621
453	6003	608
454	6015	594
455	6024	581
456	6037	568
457	6049	554
458	6062	541
459	6074	528
460	6087	514
461	6100	501
462	6110	488
463	6123	475
464	6136	461
465	6146	448
466	6159	435
467	6173	422
468	6186	408
469	6200	395
470	6210	382
471	6222	369
472	6230	355
473	6243	342
474	6256	329
475	6264	315
476	6272	302
477	6284	289
478	6298	276
479	6310	262
480	6323	249
481	6332	236
482	6344	223
483	6353	210
484	6365	196
485	6378	183
486	6386	170
487	6394	157
488	6404	144
489	6412	130
490	6420	117
491	6433	104
492	6446	91
493	6459	78
494	6472	65
495	6486	52
496	6494	39
497	6507	26
498	6515	13
499	6528	0
